subj_idx,rt,response,identity,omission
10,0.2331889,1,0,0
10,0.3963754,1,0,0
10,0.5706491,1,1,0
10,0.5566279,1,0,0
10,0.63,0,1,1
10,0.63,0,1,1
10,0.63,0,0,1
10,0.4581334,1,0,0
10,0.4295527,1,1,0
10,0.5728856,0,0,0
10,0.6033193,1,1,0
10,0.4425015,1,1,0
10,0.5243962,0,0,0
10,0.3482344,1,1,0
10,0.63,0,0,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,0,1
11,0.249185399967246,1,1,0
11,0.63,0,1,1
11,0.63,0,0,1
11,0.239948600006755,0,1,0
11,0.63,0,0,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.327820700011216,1,0,0
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.233720100019127,1,0,0
11,0.63,0,1,1
11,0.33842760004336,1,0,0
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.396567099960521,0,1,0
11,0.63,0,0,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.330390099959914,0,0,0
11,0.393640300026163,0,1,0
11,0.63,0,1,1
11,0.410150600015186,0,0,0
11,0.63,0,1,1
11,0.63,0,0,1
11,0.289502799976617,0,0,0
11,0.233232100028545,0,1,0
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.233240499976091,0,0,0
11,0.234022399992682,0,1,0
11,0.402903600013815,0,0,0
11,0.232965000031982,0,1,0
11,0.42888199997833,1,0,0
11,0.24887700000545,0,0,0
11,0.63,0,1,1
11,0.380422100017313,1,0,0
11,0.63,0,1,1
11,0.349853900028393,0,0,0
11,0.63,0,1,1
11,0.235900299972855,0,1,0
11,0.63,0,0,1
11,0.23504940001294,0,0,0
11,0.63,0,1,1
11,0.233599299972411,0,0,0
11,0.63,0,1,1
11,0.63,0,0,1
11,0.63,0,1,1
11,0.313635199971031,0,0,0
11,0.423861299990676,0,1,0
11,0.63,0,0,1
11,0.376870699983556,0,1,0
11,0.409575300000142,0,1,0
11,0.63,0,0,1
11,0.377721600001678,0,0,0
11,0.361195900011808,0,1,0
11,0.63,0,0,1
11,0.63,0,1,1
11,0.63,0,0,1
11,0.5547826999682,0,1,0
11,0.347686499997508,0,1,0
11,0.63,0,0,1
11,0.63,0,1,1
11,0.317144500033464,1,0,0
11,0.233754900051281,0,0,0
11,0.395018400042318,0,1,0
11,0.63,0,0,1
11,0.313789299980272,1,1,0
11,0.63,0,0,1
11,0.23496959998738,0,1,0
11,0.63,0,0,1
11,0.63,0,1,1
11,0.233372399990913,0,1,0
11,0.63,0,0,1
11,0.268551900051534,0,0,0
11,0.63,0,1,1
11,0.296647699957248,0,0,0
11,0.63,0,1,1
11,0.265065600047819,0,1,0
11,0.63,0,0,1
11,0.442647999967448,0,1,0
11,0.392547000024933,0,0,0
11,0.63,0,0,1
11,0.234257999982219,0,1,0
11,0.63,0,1,1
11,0.63,0,0,1
11,0.266786399995908,1,1,0
11,0.331614499969874,0,0,0
11,0.2334991999669,0,0,0
11,0.63,0,1,1
11,0.233332700037863,0,1,0
11,0.233083700004499,0,0,0
11,0.249499500030652,0,0,0
11,0.345493400003761,0,1,0
11,0.425353700004052,0,1,0
11,0.489366199995857,1,0,0
11,0.362151900015306,0,0,0
11,0.63,0,1,1
11,0.378392599988729,1,1,0
11,0.233224099967629,0,0,0
11,0.347319599997718,0,1,0
11,0.63,0,0,1
11,0.63,0,1,1
11,0.314300400030334,0,0,0
11,0.267988800012972,0,1,0
11,0.63,0,0,1
11,0.269899600010831,0,1,0
11,0.63,0,0,1
11,0.360607300011907,0,1,0
11,0.3924630000256,0,0,0
11,0.344306500046514,1,1,0
11,0.63,0,0,1
11,0.377344399981666,0,1,0
11,0.266016999958083,0,0,0
11,0.409610600036103,0,0,0
11,0.472813799977303,0,1,0
11,0.26989469997352,0,1,0
11,0.63,0,0,1
11,0.554113000049256,1,1,0
11,0.63,0,0,1
11,0.297650099964812,1,1,0
11,0.345101999992039,0,0,0
11,0.29687710001599,0,0,0
11,0.63,0,1,1
11,0.63,0,0,1
11,0.233016700018197,0,1,0
11,0.63,0,1,1
11,0.393631600018125,0,0,0
11,0.282648100052029,0,0,0
11,0.63,0,1,1
11,0.63,0,0,1
11,0.250234599981923,0,1,0
11,0.520481000014115,0,0,0
11,0.63,0,1,1
11,0.378357200010214,1,0,0
11,0.441918999946211,1,1,0
11,0.538331700023264,1,0,0
11,0.394374100025743,0,1,0
11,0.63,0,0,1
11,0.63,0,1,1
11,0.332524900033604,0,1,0
11,0.252544799994212,0,0,0
11,0.271268299955409,0,1,0
