file,groupID,subjectID,P,T,W,n_formal,omission_rate,accuracy,quality,match_key,correct_order,errors,status
EXP_data_group3_10.csv,3,10,120,0.03,0.6,520,35.0,48.22485207100592,caution,j,"square↔self, circle↔stranger",0,OK
EXP_data_group3_12.csv,3,12,120,0.03,0.6,520,27.307692307692307,45.23809523809524,caution,f,"square↔self, circle↔stranger",0,OK
EXP_data_group3_2.csv,3,2,120,0.03,0.6,520,36.15384615384615,53.01204819277109,caution,j,"square↔self, circle↔stranger",0,OK
EXP_data_group3_3.csv,3,3,120,0.03,0.6,520,14.23076923076923,52.91479820627802,caution,j,"square↔stranger, circle↔self",0,OK
EXP_data_group3_4.csv,3,4,120,0.03,0.6,520,52.11538461538462,59.43775100401606,caution,f,"square↔self, circle↔stranger",0,OK
EXP_data_group3_5.csv,3,5,120,0.03,0.6,520,1.5384615384615385,47.4609375,caution,f,"square↔stranger, circle↔self",0,OK
EXP_data_group3_6.csv,3,6,120,0.03,0.6,520,75.38461538461539,53.90625,caution,j,"square↔self, circle↔stranger",0,OK
EXP_data_group3_7.csv,3,7,120,0.03,0.6,520,67.5,56.213017751479285,caution,j,"square↔stranger, circle↔self",0,OK
EXP_data_group3_8.csv,3,8,120,0.03,0.6,520,31.538461538461537,46.06741573033708,caution,f,"square↔self, circle↔stranger",0,OK
EXP_data_group4_1.csv,4,1,120,0.08,0.6,520,31.153846153846153,75.41899441340783,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group4_10.csv,4,10,120,0.08,0.6,520,50.19230769230769,87.25868725868726,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group4_12.csv,4,12,120,0.08,0.6,520,54.03846153846153,65.27196652719665,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group4_14.csv,4,14,120,0.08,0.6,520,30.0,50.54945054945055,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group4_2.csv,4,2,120,0.08,0.6,520,19.423076923076923,60.859188544152744,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group4_3.csv,4,3,120,0.08,0.6,520,40.96153846153846,64.49511400651465,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group4_5.csv,4,5,120,0.08,0.6,520,4.615384615384616,89.71774193548387,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group4_6.csv,4,6,120,0.08,0.6,520,78.07692307692308,74.56140350877193,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group4_7.csv,4,7,120,0.08,0.6,520,40.19230769230769,73.63344051446946,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group4_8.csv,4,8,120,0.08,0.6,520,48.84615384615385,71.42857142857143,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group4_9.csv,4,9,120,0.08,0.6,520,33.65384615384615,58.26086956521739,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group5_1.csv,5,1,8,0.1,1.1,520,13.653846153846153,78.84187082405344,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group5_10.csv,5,10,8,0.1,1.1,520,3.2692307692307696,82.90258449304176,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group5_11.csv,5,11,8,0.1,1.1,520,17.307692307692307,63.0232558139535,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group5_12.csv,5,12,8,0.1,1.1,520,24.807692307692307,82.86445012787725,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group5_2.csv,5,2,8,0.1,1.1,520,17.307692307692307,58.6046511627907,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group5_3.csv,5,3,8,0.1,1.1,520,9.807692307692308,83.5820895522388,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group5_4.csv,5,4,8,0.1,1.1,520,19.230769230769234,76.42857142857142,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group5_5.csv,5,5,8,0.1,1.1,520,4.230769230769231,78.1124497991968,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group5_6.csv,5,6,8,0.1,1.1,520,1.9230769230769231,78.43137254901961,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group5_7.csv,5,7,8,0.1,1.1,520,2.307692307692308,93.11023622047244,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group5_8.csv,5,8,8,0.1,1.1,520,7.5,71.93347193347194,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group6_1.csv,6,1,120,0.5,1.5,520,3.076923076923077,93.84920634920636,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group6_10.csv,6,10,120,0.5,1.5,520,6.730769230769231,92.37113402061856,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group6_12.csv,6,12,120,0.5,1.5,520,1.153846153846154,94.16342412451361,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group6_13.csv,6,13,120,0.5,1.5,520,1.3461538461538463,98.83040935672514,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group6_15.csv,6,15,120,0.5,1.5,520,6.153846153846154,90.77868852459017,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group6_16.csv,6,16,120,0.5,1.5,520,17.692307692307693,91.82242990654206,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group6_3.csv,6,3,120,0.5,1.5,520,2.8846153846153846,97.42574257425743,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group6_4.csv,6,4,120,0.5,1.5,520,3.076923076923077,95.63492063492063,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group6_5.csv,6,5,120,0.5,1.5,520,8.269230769230768,88.46960167714884,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group6_9.csv,6,9,120,0.5,1.5,520,2.1153846153846154,95.67779960707269,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group7_1.csv,7,1,0,0.1,1.1,520,20.576923076923077,85.95641646489103,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group7_10.csv,7,10,0,0.1,1.1,520,2.307692307692308,75.39370078740157,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group7_11.csv,7,11,0,0.1,1.1,520,48.07692307692308,60.74074074074074,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group7_12.csv,7,12,0,0.1,1.1,520,2.307692307692308,77.36220472440945,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group7_2.csv,7,2,0,0.1,1.1,520,7.6923076923076925,76.45833333333333,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group7_3.csv,7,3,0,0.1,1.1,520,20.576923076923077,75.30266343825666,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group7_4.csv,7,4,0,0.1,1.1,520,15.192307692307692,88.66213151927438,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group7_5.csv,7,5,0,0.1,1.1,520,4.038461538461538,86.37274549098196,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group7_6.csv,7,6,0,0.1,1.1,520,28.653846153846153,89.21832884097036,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group7_7.csv,7,7,0,0.1,1.1,520,7.5,92.3076923076923,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group7_8.csv,7,8,0,0.1,1.1,520,13.461538461538462,48.66666666666667,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group7_9.csv,7,9,0,0.1,1.1,520,12.115384615384615,50.984682713347915,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group8_1.csv,8,1,120,0.03,0.8,520,20.576923076923077,85.95641646489103,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group8_10.csv,8,10,120,0.03,0.8,520,2.307692307692308,75.39370078740157,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group8_11.csv,8,11,120,0.03,0.8,520,48.07692307692308,60.74074074074074,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group8_12.csv,8,12,120,0.03,0.8,520,2.307692307692308,77.36220472440945,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group8_2.csv,8,2,120,0.03,0.8,520,7.6923076923076925,76.45833333333333,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group8_3.csv,8,3,120,0.03,0.8,520,20.576923076923077,75.30266343825666,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group8_4.csv,8,4,120,0.03,0.8,520,15.192307692307692,88.66213151927438,good,f,"square↔self, circle↔stranger",0,OK
EXP_data_group8_5.csv,8,5,120,0.03,0.8,520,4.038461538461538,86.37274549098196,good,f,"square↔stranger, circle↔self",0,OK
EXP_data_group8_6.csv,8,6,120,0.03,0.8,520,28.653846153846153,89.21832884097036,good,j,"square↔self, circle↔stranger",0,OK
EXP_data_group8_7.csv,8,7,120,0.03,0.8,520,7.5,92.3076923076923,good,j,"square↔stranger, circle↔self",0,OK
EXP_data_group8_8.csv,8,8,120,0.03,0.8,520,13.461538461538462,48.66666666666667,good,f,"square↔self, circle↔stranger",0,OK
