subj_idx,rt,response,identity,condition,omission
0,0.832752900008927,0,1,0,0
0,0.920997000008356,0,1,0,0
0,0.72841039999912,1,1,1,0
0,0.80872860000818,1,0,1,0
0,0.872047800003202,0,0,0,0
0,0.70375139999669,1,0,1,0
0,0.703882600006182,1,1,1,0
0,0.704661099996883,0,0,0,0
0,0.821654799990938,0,1,0,0
0,0.954996100001154,1,0,1,0
0,1.07967330000247,1,1,1,0
0,1.09621709999919,0,0,0,0
0,0.93816489999881,0,1,0,0
0,0.838627299992368,0,0,0,0
0,0.953582099988125,1,0,1,0
0,0.934505900004297,1,1,1,0
0,0.952430700010154,0,1,0,0
0,0.985166899990872,1,1,0,0
0,0.747203600010835,1,0,1,0
0,1.0155479,0,0,0,0
0,0.872191699992982,1,1,1,0
0,0.986428200005321,1,0,1,0
0,0.874400200002128,0,1,0,0
0,1.09731909999391,0,0,0,0
0,0.920133999999962,1,1,1,0
0,0.904815399990184,0,0,0,0
0,1.09805309999501,1,1,1,0
0,1.01806600000418,1,0,1,0
0,0.999990700001945,0,1,0,0
0,0.776510000010603,1,1,1,0
0,1.22603219999291,0,1,0,0
0,1.22290020000946,0,0,0,0
0,1.03420690000348,1,0,1,0
0,0.905931800007238,0,1,0,0
0,0.776406999997562,1,1,1,0
0,0.998980300006224,0,0,0,0
0,0.778263900007005,1,0,1,0
0,0.815371299991966,0,1,0,0
0,0.703714599992963,1,0,0,0
0,0.704100699993432,1,0,1,0
0,2.0,0,1,1,1
0,0.703947200003313,1,1,1,0
0,0.843912799988175,1,0,1,0
0,1.0175079999899,0,1,0,0
0,1.22433359999559,0,0,0,0
0,0.743284399999538,0,0,0,0
0,0.842672600003425,1,1,0,0
0,0.824068400004762,1,1,1,0
0,0.921705100001418,1,0,1,0
0,0.951966500011622,1,0,1,0
0,0.776828400004888,0,1,0,0
0,0.96923629999219,0,0,0,0
0,0.703318600004422,1,1,1,0
0,0.932876499995473,1,0,1,0
0,0.809118100005435,1,1,1,0
0,0.704034299997147,0,0,0,0
0,1.09165260000736,0,1,0,0
0,1.03224259999115,0,1,0,0
0,0.703660600003786,1,0,1,0
0,0.8340651000035,1,1,1,0
0,0.790105299995048,0,0,0,0
0,0.98485319998872,0,0,0,0
0,0.703746899991529,1,0,1,0
0,0.836027800003649,0,1,0,0
0,0.743767899999511,1,1,1,0
0,0.792121999998926,0,0,0,0
0,0.703892000004998,1,1,1,0
0,0.833301299993764,1,0,1,0
0,0.744826900001499,0,1,0,0
0,0.87129389999609,0,0,0,0
0,0.937450299999909,0,1,0,0
0,1.06657789999736,1,0,1,0
0,0.872579000002588,1,1,1,0
0,1.17839339999773,0,0,1,0
0,0.703389199989033,0,1,0,0
0,0.708775000006426,1,1,1,0
0,0.904183599996031,0,0,0,0
0,0.763208299991675,1,0,1,0
0,1.04905080000754,1,1,1,0
0,0.953479199990397,0,0,0,0
0,0.858168600010686,1,1,0,0
0,1.06606090000423,0,1,0,0
0,0.811001199996099,1,0,1,0
0,0.98427939999965,0,0,0,0
0,0.838655199986533,1,1,1,0
0,1.09763770000427,0,0,0,0
0,1.0804212,1,1,1,0
0,0.998724400007632,0,1,0,0
0,0.935541500002728,1,0,1,0
0,0.735157100003562,0,0,1,0
0,2.0,0,1,1,1
0,0.704353900000569,0,0,0,0
0,1.0013331000082,0,1,0,0
0,0.873985900005209,1,0,1,0
0,0.859122199995909,0,1,0,0
0,0.872581700008595,1,1,1,0
0,0.841800900001545,0,0,0,0
0,0.703174299997045,1,0,1,0
0,0.817771799993352,1,1,1,0
0,0.778082200005883,0,1,0,0
0,1.14544339998974,0,0,0,0
0,0.727010300004622,0,0,0,0
0,0.807072299998254,1,1,1,0
0,0.779374999998254,0,1,0,0
0,0.969710599994869,1,0,1,0
0,1.25755419999768,0,1,0,0
0,0.825613599998178,1,0,1,0
0,1.01528769999277,1,1,1,0
0,0.793061000003945,0,0,0,0
0,1.14571530000831,1,1,1,0
0,0.712826700008009,0,1,0,0
0,0.704230500006815,1,0,1,0
0,0.705265199998394,0,0,0,0
0,0.90851749999274,0,1,0,0
0,0.951520300004631,0,0,0,0
0,0.858088799999678,1,0,1,0
0,1.09602449998783,1,1,1,0
0,1.09762910001155,0,1,0,0
0,1.12783169999602,0,0,0,0
0,0.92188680000254,1,0,1,0
0,0.871722199997748,1,1,1,0
0,0.839810800011037,0,0,0,0
0,0.842933000007179,1,0,1,0
0,0.870070299992221,1,1,1,0
0,0.778492299999925,0,1,0,0
0,1.01631150000321,0,0,0,0
0,0.96952619998774,0,1,0,0
0,0.921993900003145,1,0,1,0
0,0.904027199998382,1,1,1,0
0,1.11162509999122,0,0,0,0
0,0.968668900008197,0,1,0,0
0,0.840064500007429,1,1,1,0
0,1.06654179999896,1,0,1,0
0,1.15954989999591,1,1,1,0
0,0.871781999987434,0,0,0,0
0,0.985266399991815,1,0,1,0
0,0.952369599996018,0,1,0,0
0,0.856328699999722,1,1,1,0
0,0.904950200012536,0,1,0,0
0,1.09686109999893,0,0,0,0
0,0.857298800008721,1,0,1,0
0,0.704857899996568,1,1,1,0
0,0.83869780000532,1,0,1,0
0,1.0471561000013,0,0,0,0
0,0.888700600000448,0,1,0,0
0,0.874274200003128,1,0,1,0
0,0.704069500003243,1,1,1,0
0,0.879441099998076,0,0,0,0
0,0.810169899996254,0,1,0,0
0,1.15994379999756,1,0,1,0
0,0.703878099986468,0,1,0,0
0,0.722932200005744,1,1,1,0
0,0.999740900006145,1,0,0,0
0,0.825074599997606,0,0,1,0
0,0.919778199997381,1,1,1,0
0,1.06385939999018,0,0,0,0
0,0.968599600004382,1,1,0,0
0,0.952082600007998,0,0,0,0
0,0.984471800009487,1,1,1,0
0,0.889006400000653,0,1,0,0
0,0.840091800011578,1,0,1,0
0,0.793874100010726,0,1,0,0
0,0.871423499993398,1,1,1,0
0,1.04821220001031,0,0,0,0
0,0.857626099998015,1,0,1,0
0,1.20826749999833,0,0,0,0
0,0.759731800004374,1,1,1,0
0,0.9690702999942,1,0,1,0
0,1.00200870000117,0,1,0,0
0,1.06434050000098,1,0,1,0
0,0.746124700002838,0,1,0,0
0,0.904119600003469,0,0,0,0
0,0.886660100004519,1,1,1,0
0,0.936746000006679,0,1,0,0
0,0.952820400008932,1,1,1,0
0,0.970700000005309,1,0,1,0
0,0.855364400005783,0,0,0,0
0,0.921110499999486,0,1,0,0
0,1.04700180000509,0,0,0,0
0,0.906368199997814,1,0,1,0
0,1.01507680000213,1,1,1,0
0,0.872669899996254,1,0,1,0
0,0.904919399996288,0,0,0,0
0,1.12848640000448,0,1,0,0
0,1.25537569999869,1,1,1,0
0,1.01724289999402,0,1,0,0
0,0.985607599999639,1,0,1,0
0,1.01533159999235,1,1,1,0
0,0.872980300002382,0,0,0,0
0,0.890377300005639,1,0,1,0
0,0.969342199998209,1,1,1,0
0,0.841907499998342,0,1,0,0
0,0.952019900010782,1,0,0,0
0,2.0,0,0,1,1
0,2.0,1,1,0,1
0,0.704200800013496,1,1,1,0
0,0.786602299995138,0,0,0,0
0,0.795392600004561,1,0,1,0
0,0.79312299999583,0,0,0,0
0,1.28760720000719,1,1,1,0
0,0.793478500010679,0,1,0,0
0,0.825400899993838,0,0,0,0
0,0.937825100001646,0,1,0,0
0,0.775709299996379,1,1,1,0
0,0.824819500005106,1,0,1,0
0,0.80976340000052,1,0,1,0
0,2.0,1,1,0,1
0,0.703770399995847,1,1,1,0
0,1.14383749999979,0,0,0,0
0,1.01645660000213,1,1,0,0
0,1.2723740000074,1,0,1,0
0,1.12691029999405,0,0,0,0
0,1.14392059999227,1,1,1,0
0,0.889445900000283,0,1,0,0
0,1.07956939999713,1,1,1,0
0,1.08206330001121,1,0,1,0
0,0.902988200003165,0,0,0,0
0,0.904617100008181,1,1,1,0
0,0.95466239999223,1,1,0,0
0,0.95205100000021,0,0,0,0
0,0.841268600008334,1,0,1,0
0,1.28866009999183,1,1,0,0
0,0.984528200002387,1,1,1,0
0,1.0489505000005,1,0,1,0
0,1.00071059999755,0,0,0,0
0,0.968509199999971,1,1,1,0
0,0.937354400011827,0,1,0,0
0,1.41548179999518,0,0,0,0
0,1.06441349998931,1,0,1,0
0,0.953788200000417,1,0,1,0
0,0.808457099992665,0,0,0,0
0,0.792886900002486,1,1,1,0
0,0.921420400001807,0,1,0,0
0,1.0657319999882,0,1,0,0
0,1.08123479998903,1,1,1,0
0,0.83814129998791,0,0,0,0
0,0.953621699998621,1,0,1,0
0,0.809004800001276,0,1,0,0
0,0.810306500003207,1,0,1,0
0,0.967759999999544,1,0,0,0
0,0.952174800011562,1,1,1,0
0,0.77674850000767,0,0,0,0
0,0.858838999993168,1,0,1,0
0,0.838420199987013,1,1,1,0
0,0.937200600004871,1,1,0,0
0,0.705190299995593,0,1,0,0
0,0.712402599994675,1,1,1,0
0,1.15862850000849,0,0,0,0
0,0.905650299988338,1,0,1,0
0,0.873669699998572,1,0,1,0
0,0.778909100001329,0,1,0,0
0,0.985803200004739,1,0,0,0
0,0.854620900005102,1,1,1,0
0,0.84043740000925,1,0,1,0
0,0.807087399996817,1,1,1,0
0,0.839910900001996,0,1,0,0
0,1.07912049999868,0,0,0,0
0,0.970021599991014,0,1,0,0
0,1.11164240000653,0,0,0,0
0,0.90432439999131,1,0,1,0
0,0.983949699992081,1,1,1,0
0,0.922578700003214,1,0,1,0
0,1.22385049999866,0,0,0,0
0,0.872315000000526,1,1,1,0
0,0.874288799997885,0,1,0,0
0,0.922803599998588,1,1,0,0
0,0.776813499993295,1,1,1,0
0,1.27063800000178,0,0,0,0
0,1.00206969999999,1,0,1,0
0,1.22591199999442,0,1,0,0
0,1.15951839998888,1,1,1,0
0,0.842196799989324,1,0,1,0
0,0.857288499988499,0,0,0,0
0,1.11417519999668,1,0,1,0
0,1.01711359999899,1,1,1,0
0,1.05011630000081,0,1,0,0
0,1.04919530000188,0,0,0,0
0,1.35214579998865,0,0,0,0
0,0.838976700004423,1,1,1,0
0,0.84299540000211,1,1,0,0
0,1.27393409999786,1,0,1,0
0,1.09755179999047,0,1,0,0
0,1.00004600000102,1,1,1,0
0,0.906001199997263,1,0,1,0
0,1.11208020000777,0,0,0,0
0,0.826348099988536,1,1,0,0
0,0.951175700000022,1,0,0,0
0,0.982349500001874,1,0,1,0
0,0.855662099987967,1,1,1,0
0,1.17874200000369,0,1,0,0
0,0.906808400002774,1,0,1,0
0,1.07974700001068,1,1,1,0
0,1.14514490000147,0,0,0,0
0,1.07943540000997,0,0,0,0
0,0.934404100000393,1,1,1,0
0,0.887783700003638,1,0,1,0
0,0.889236800008803,0,1,0,0
0,2.0,0,1,1,1
0,0.704561999998987,0,1,0,0
0,0.973209300005692,1,0,1,0
0,0.950514500000281,0,0,0,0
0,1.03259570000228,1,1,0,0
0,1.01524429999699,1,1,1,0
0,1.01792199999909,1,0,1,0
0,0.99789640000381,0,0,0,0
0,1.01733240000613,1,1,1,0
0,1.09714909999457,0,0,0,0
0,1.03354039999249,1,0,1,0
0,1.12905980000505,0,1,0,0
0,1.27140759999747,0,0,0,0
0,1.11396449999302,1,1,0,0
0,1.20748959999764,0,1,1,0
0,1.09764320000249,1,0,1,0
0,1.00077869999222,1,0,1,0
0,1.00254609998956,0,1,0,0
0,1.03245959999913,0,0,0,0
0,1.01516350000747,1,1,1,0
0,0.921860700007528,0,1,0,0
0,1.01524570000765,1,1,1,0
0,1.04758929999662,0,0,0,0
0,0.921780499993474,1,0,1,0
0,0.903790099997423,1,1,1,0
0,0.952779199986253,0,1,0,0
0,1.08295379999618,0,0,1,0
0,1.11227709999366,0,0,0,0
0,0.986451200005831,1,0,1,0
0,0.888414100001683,1,1,1,0
0,0.872294699991471,0,1,0,0
0,1.25576160001219,0,0,0,0
0,0.792434100003447,1,1,1,0
0,0.953223300006357,0,1,0,0
0,1.07868799999414,0,0,0,0
0,0.842377200009651,1,0,1,0
0,0.969995799998287,1,0,1,0
0,0.999130700001842,0,0,0,0
0,0.887866000004578,0,1,0,0
0,0.824845199997071,1,1,1,0
0,0.826377399993362,1,0,1,0
0,0.968121099998825,0,0,0,0
0,0.703939799990621,1,1,1,0
0,0.722349899995606,0,1,0,0
0,0.80853309998929,0,0,0,0
0,0.824207099998603,1,0,1,0
0,0.936027799994918,0,1,0,0
0,0.704529399998137,1,1,1,0
0,0.944281600008253,1,1,1,0
0,1.00258929999836,1,0,1,0
0,0.98630969999067,0,1,0,0
0,1.27039370000421,0,0,0,0
5,1.76857750001363,1,1,0,0
5,1.09783059998881,1,1,1,0
5,1.17870689998381,0,0,1,0
5,1.40483439998934,0,0,0,0
5,0.827106000040658,1,1,1,0
5,1.03302989999065,1,0,1,0
5,1.3716869999771,1,1,0,0
5,1.4848626999883,1,0,0,0
5,1.32430079998448,1,0,0,0
5,2.0,0,0,1,1
5,0.721245799970347,1,1,1,0
5,0.732167399954051,0,1,0,0
5,0.908102599962149,1,1,1,0
5,1.09729750000406,0,0,1,0
5,0.733388099994045,1,0,0,0
5,1.61298100004205,1,1,0,0
5,0.732701500004623,1,1,1,0
5,1.26145000004908,0,0,0,0
5,1.25921200000448,1,0,1,0
5,1.27675130002899,0,1,0,0
5,0.750324199965689,1,1,1,0
5,0.859806799970102,0,1,0,0
5,1.6779899999965,0,0,0,0
5,1.38638099998934,0,0,1,0
5,1.24353460001294,1,0,0,0
5,1.11559930001386,0,1,0,0
5,1.00177779997466,1,0,1,0
5,0.956555600045249,1,1,1,0
5,0.730868300015572,0,1,0,0
5,1.13124050002079,1,0,0,0
5,1.30712400004268,0,0,1,0
5,0.797484299982898,1,1,1,0
5,2.0,0,0,1,1
5,1.82978440000443,0,1,1,0
5,0.922888299974147,0,1,0,0
5,1.54703560000053,0,0,0,0
5,0.87443320004968,0,1,0,0
5,0.795772099983878,1,0,1,0
5,2.0,1,0,0,1
5,2.0,0,1,1,1
5,1.25195449998137,1,1,1,0
5,1.03623040003004,1,0,1,0
5,0.954238899983466,0,1,0,0
5,1.4541625,0,0,0,0
5,0.956859499972779,0,0,0,0
5,0.891241399978753,0,1,0,0
5,0.70397850003792,0,0,1,0
5,0.824097400007304,1,1,1,0
5,1.11596640001517,1,0,1,0
5,0.876522499951534,0,1,0,0
5,2.0,0,1,1,1
5,1.65233770001214,0,0,0,0
5,0.751011299958918,1,1,1,0
5,1.03397059999406,1,0,1,0
5,1.02080240001669,0,0,0,0
5,1.2592743000132,0,1,0,0
5,1.01927089999663,1,0,1,0
5,0.765656600007787,1,1,1,0
5,1.29122820001794,0,1,0,0
5,0.92491100000916,0,0,0,0
5,0.891554100031499,1,1,1,0
5,1.30622950004181,1,0,1,0
5,0.969825599982869,0,1,0,0
