SubjectUID,DesignCell,P,T_ms,W_ms,Matching,Identity,RT_ms,n_rt
group4_9,P120_T80_W600,120,80.0,600.0,NonMatching,Self,480.0770878039369,41
group4_9,P120_T80_W600,120,80.0,600.0,Matching,Stranger,430.38818305082043,59
group4_9,P120_T80_W600,120,80.0,600.0,Matching,Self,464.1199318196441,66
group5_1,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,689.4221037466195,80
group5_1,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,698.0235093025502,86
group5_1,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,715.1160265873127,79
group5_1,P8_T100_W1100,8,100.0,1100.0,Matching,Self,586.8747981650746,109
group5_10,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,578.222363270173,98
group5_10,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,545.1917426144381,115
group5_10,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,661.1536680460114,97
group5_10,P8_T100_W1100,8,100.0,1100.0,Matching,Self,636.3267392468439,107
group5_11,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,608.3821493545668,77
group5_11,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,605.6684642730814,70
group5_11,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,596.7935931720687,44
group5_11,P8_T100_W1100,8,100.0,1100.0,Matching,Self,574.619574996177,80
group5_12,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,836.2381930540625,72
group5_12,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,681.218707075606,99
group5_12,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,769.2848169015275,71
group5_12,P8_T100_W1100,8,100.0,1100.0,Matching,Self,805.7630377972897,82
group5_2,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,857.9466424258003,66
group5_2,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,849.5575308802529,68
group5_2,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,907.9965403519996,57
group5_2,P8_T100_W1100,8,100.0,1100.0,Matching,Self,872.5973196741817,61
group5_3,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,802.7256314568724,89
group5_3,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,813.347607319595,82
group5_3,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,762.6159010249785,97
group5_3,P8_T100_W1100,8,100.0,1100.0,Matching,Self,635.52115807045,124
group5_4,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,809.850169359819,62
group5_4,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,742.265890528889,95
group5_4,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,784.6727740784166,81
group5_4,P8_T100_W1100,8,100.0,1100.0,Matching,Self,801.3568602394346,83
group5_5,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,798.5177428562675,91
