SubjectUID,DesignCell,P,T_ms,W_ms,Stranger,Self,SPE_ACC
group4_10,P120_T80_W600,120,80.0,600.0,0.2923076923076923,0.36923076923076925,0.07692307692307693
group4_12,P120_T80_W600,120,80.0,600.0,0.2153846153846154,0.25384615384615383,0.038461538461538436
group4_14,P120_T80_W600,120,80.0,600.0,0.4461538461538462,0.5076923076923077,0.061538461538461486
group4_2,P120_T80_W600,120,80.0,600.0,0.5,0.45384615384615384,-0.046153846153846156
group4_3,P120_T80_W600,120,80.0,600.0,0.2,0.7769230769230769,0.5769230769230769
group4_5,P120_T80_W600,120,80.0,600.0,0.8384615384615385,0.9538461538461539,0.11538461538461542
group4_6,P120_T80_W600,120,80.0,600.0,0.13846153846153847,0.17692307692307693,0.038461538461538464
group4_7,P120_T80_W600,120,80.0,600.0,0.3769230769230769,0.823076923076923,0.4461538461538461
group4_8,P120_T80_W600,120,80.0,600.0,0.2230769230769231,0.3076923076923077,0.08461538461538462
group4_9,P120_T80_W600,120,80.0,600.0,0.45384615384615384,0.5076923076923077,0.05384615384615382
group5_1,P8_T100_W1100,8,100.0,1100.0,0.6076923076923076,0.8384615384615385,0.23076923076923084
group5_10,P8_T100_W1100,8,100.0,1100.0,0.7461538461538462,0.823076923076923,0.07692307692307687
group5_11,P8_T100_W1100,8,100.0,1100.0,0.3384615384615385,0.6153846153846154,0.27692307692307694
group5_12,P8_T100_W1100,8,100.0,1100.0,0.5461538461538461,0.6307692307692307,0.08461538461538465
group5_2,P8_T100_W1100,8,100.0,1100.0,0.43846153846153846,0.46923076923076923,0.03076923076923077
group5_3,P8_T100_W1100,8,100.0,1100.0,0.7461538461538462,0.9538461538461539,0.20769230769230773
group5_4,P8_T100_W1100,8,100.0,1100.0,0.6230769230769231,0.6384615384615384,0.01538461538461533
group5_5,P8_T100_W1100,8,100.0,1100.0,0.7230769230769231,0.8615384615384616,0.13846153846153852
group5_6,P8_T100_W1100,8,100.0,1100.0,0.676923076923077,0.7153846153846154,0.038461538461538436
group5_7,P8_T100_W1100,8,100.0,1100.0,0.823076923076923,0.9846153846153847,0.16153846153846163
group5_8,P8_T100_W1100,8,100.0,1100.0,0.5692307692307692,0.6615384615384615,0.09230769230769231
group6_1,P120_T500_W1500,120,500.0,1500.0,0.9384615384615385,0.9461538461538461,0.007692307692307665
group6_10,P120_T500_W1500,120,500.0,1500.0,0.8923076923076924,0.8923076923076924,0.0
group6_12,P120_T500_W1500,120,500.0,1500.0,0.9384615384615385,0.9615384615384616,0.023076923076923106
group6_13,P120_T500_W1500,120,500.0,1500.0,0.9692307692307692,0.9769230769230769,0.007692307692307665
group6_15,P120_T500_W1500,120,500.0,1500.0,0.7769230769230769,0.8307692307692308,0.05384615384615388
group6_16,P120_T500_W1500,120,500.0,1500.0,0.7846153846153846,0.7384615384615385,-0.0461538461538461
group6_3,P120_T500_W1500,120,500.0,1500.0,0.9307692307692308,0.9384615384615385,0.007692307692307665
group6_4,P120_T500_W1500,120,500.0,1500.0,0.9384615384615385,0.9538461538461539,0.015384615384615441
group6_5,P120_T500_W1500,120,500.0,1500.0,0.6846153846153846,0.7923076923076923,0.10769230769230764
group6_9,P120_T500_W1500,120,500.0,1500.0,0.9384615384615385,0.9230769230769231,-0.01538461538461533
group7_1,P120_T30_W800,120,30.0,800.0,0.6923076923076923,0.8307692307692308,0.13846153846153852
group7_10,P120_T30_W800,120,30.0,800.0,0.7076923076923077,0.6076923076923076,-0.10000000000000009
group7_11,P120_T30_W800,120,30.0,800.0,0.2846153846153846,0.6153846153846154,0.3307692307692308
group7_12,P120_T30_W800,120,30.0,800.0,0.7615384615384615,0.7230769230769231,-0.038461538461538436
group7_2,P120_T30_W800,120,30.0,800.0,0.7846153846153846,0.7846153846153846,0.0
group7_3,P120_T30_W800,120,30.0,800.0,0.5461538461538461,0.8384615384615385,0.2923076923076924
group7_4,P120_T30_W800,120,30.0,800.0,0.7538461538461538,0.6923076923076923,-0.06153846153846154
group7_5,P120_T30_W800,120,30.0,800.0,0.8538461538461538,0.9384615384615385,0.08461538461538465
group7_6,P120_T30_W800,120,30.0,800.0,0.5846153846153846,0.6076923076923076,0.023076923076922995
group7_7,P120_T30_W800,120,30.0,800.0,0.8615384615384616,0.9230769230769231,0.06153846153846154
group7_8,P120_T30_W800,120,30.0,800.0,0.46153846153846156,0.4076923076923077,-0.05384615384615388
group7_9,P120_T30_W800,120,30.0,800.0,0.43846153846153846,0.7,0.2615384615384615
group8_1,P120_T80_W800,120,80.0,800.0,0.6923076923076923,0.8307692307692308,0.13846153846153852
group8_10,P120_T80_W800,120,80.0,800.0,0.7076923076923077,0.6076923076923076,-0.10000000000000009
group8_11,P120_T80_W800,120,80.0,800.0,0.2846153846153846,0.6153846153846154,0.3307692307692308
group8_12,P120_T80_W800,120,80.0,800.0,0.7615384615384615,0.7230769230769231,-0.038461538461538436
group8_2,P120_T80_W800,120,80.0,800.0,0.7846153846153846,0.7846153846153846,0.0
group8_3,P120_T80_W800,120,80.0,800.0,0.5461538461538461,0.8384615384615385,0.2923076923076924
group8_4,P120_T80_W800,120,80.0,800.0,0.7538461538461538,0.6923076923076923,-0.06153846153846154
group8_5,P120_T80_W800,120,80.0,800.0,0.8538461538461538,0.9384615384615385,0.08461538461538465
group8_6,P120_T80_W800,120,80.0,800.0,0.5846153846153846,0.6076923076923076,0.023076923076922995
group8_7,P120_T80_W800,120,80.0,800.0,0.8615384615384616,0.9230769230769231,0.06153846153846154
group8_8,P120_T80_W800,120,80.0,800.0,0.46153846153846156,0.4076923076923077,-0.05384615384615388
