subj_idx,rt,response,identity
9,0.393287099956069,1,0
9,0.409659299999475,1,1
9,0.520348400052171,0,0
9,0.488200399966445,0,0
9,0.297668600047473,0,1
9,0.571593800035771,1,0
9,0.239492099964991,1,0
9,0.331310499983374,1,1
9,0.42504070000723,1,1
9,0.265497100015637,0,0
9,0.505191400006879,1,1
9,0.451217899972107,0,0
9,0.313625500013586,1,1
9,0.296598199987784,0,0
1,0.34512050000194,1,1
1,0.378764599998249,1,0
1,0.490655699999479,1,1
1,0.55677189999551,1,1
1,0.623011000003316,1,0
1,0.319677400002547,0,1
1,0.630092100000184,0,0
1,0.296939400002884,1,0
1,0.527795399997558,0,1
1,0.398111900001823,1,0
1,0.491409800000838,1,0
1,0.588421699998435,0,1
1,0.601245900004869,1,0
1,0.5752197000038,1,1
1,0.39953859999514,1,1
1,0.6013105,0,0
1,0.346670500002801,1,1
1,0.49152409999806,1,1
1,0.427697200000694,0,0
1,0.443042799997784,1,0
1,0.428359099998488,1,1
1,0.490563499995915,0,0
1,0.348480200002086,1,1
1,0.396573099998932,1,1
1,0.475910000001022,1,0
1,0.377352600000449,0,0
1,0.378900699994119,1,1
1,0.41026299999794,1,1
1,0.299800499997218,0,0
1,0.236019700001634,1,1
1,0.330337899998995,1,0
1,0.523272699996596,0,0
1,0.251169800001662,1,1
1,0.507472400000552,0,0
1,0.523715199997241,1,1
1,0.42863380000199,1,1
1,0.474586099997396,0,0
1,0.603859499999089,0,1
1,0.507332800007134,1,1
1,0.539262099999178,0,0
1,0.490964900003746,1,1
1,0.523031600001559,0,0
1,0.412162599997828,0,0
1,0.539082000002963,1,1
1,0.365758599997207,1,0
1,0.330767300001753,0,1
1,0.443244200003392,1,0
1,0.31590519999736,0,1
1,0.41165689999616,0,1
1,0.442242199998873,1,0
1,0.460195800005749,1,1
1,0.555427999999665,1,0
1,0.395482499996433,0,0
1,0.410320900002262,0,1
1,0.489812300002086,1,0
1,0.395282699995732,0,0
1,0.526957800000673,0,0
1,0.603453999996418,0,0
1,0.45716170000378,1,1
1,0.585399200004758,0,0
1,0.475153599996702,1,1
1,0.521369599999161,0,0
1,0.507866500003729,1,1
1,0.542875999999524,0,0
1,0.619699499999115,1,1
1,0.586198799996055,0,0
1,0.35313429999951,1,1
1,0.538706200000888,1,0
1,0.571758300000511,1,1
1,0.605759999998554,0,0
1,0.492157799999404,1,1
1,0.555040699997335,1,0
1,0.301295199999004,1,1
1,0.395571000000928,1,1
1,0.571528099993884,0,0
1,0.265887499997916,1,1
1,0.443444300006377,1,0
1,0.571532999994815,0,0
1,0.556022600001597,1,0
1,0.426588499998616,0,1
1,0.47401600000012,1,1
1,0.523228799997014,0,0
1,0.505834800002049,1,0
1,0.584320800000569,0,1
1,0.602149099999224,1,1
1,0.569219099998008,0,0
1,0.430639500002144,0,0
1,0.473627300001681,0,1
1,0.488929400002235,1,0
1,0.540058400001726,0,1
1,0.554281999997329,0,0
1,0.571681699999317,0,1
1,0.484108999997261,0,1
1,0.251088999997592,1,0
1,0.458486999996239,1,1
1,0.4746238000007,1,0
1,0.60432839999703,1,1
1,0.557074800002738,1,1
1,0.564213099998597,0,0
1,0.585016899996845,1,1
1,0.543415600004664,0,1
1,0.505819300000439,0,0
1,0.562293599999975,1,1
1,0.410782399994787,0,0
1,0.428193500003545,0,1
1,0.506539199996041,0,1
1,0.350160399997549,1,1
1,0.522552800000994,0,0
1,0.618329499993706,0,0
1,0.411396400006197,0,1
1,0.558232199997292,0,1
1,0.570985999998811,1,1
1,0.604539100000693,1,1
1,0.538543700000446,0,0
1,0.396442199999001,0,0
1,0.489245700002357,1,1
1,0.620713399999659,1,0
1,0.570051800001238,0,1
1,0.555626599998504,1,1
1,0.524369599996135,0,0
1,0.593304199996055,1,1
1,0.5224698,1,0
1,0.537577700000838,0,0
1,0.506032700002834,1,1
1,0.523206599995319,0,0
1,0.427832499997749,1,1
1,0.507223000000522,1,0
1,0.520203699998092,0,1
1,0.396990399996866,0,0
1,0.411094300005061,0,1
1,0.426107100000081,1,0
1,0.569358200002171,0,1
1,0.538523499999428,0,1
1,0.521637400001055,0,0
1,0.570095999995829,0,0
1,0.604533199999423,0,0
1,0.588187699999253,0,0
1,0.536983899997722,0,1
1,0.47783669999626,1,0
1,0.567957200000819,1,1
1,0.345537700006389,1,0
1,0.3461382999958,0,0
1,0.252734499998041,0,0
1,0.589858699997421,1,1
1,0.522834999996121,0,1
1,0.632226900001115,1,1
1,0.381609199997911,0,1
1,0.361134900005709,0,1
1,0.281449300004169,1,0
1,0.524821799997881,1,1
1,0.632101199997123,0,1
1,0.568814199999906,0,0
1,0.586245699996653,0,1
1,0.587592799995036,0,1
1,0.536982300000091,1,0
1,0.601123300002655,1,1
1,0.602257300000929,0,1
1,0.553040099999635,0,0
1,0.552970500000811,0,1
1,0.457760400000552,0,1
1,0.61849760000041,0,0
1,0.617989799997304,1,1
1,0.521372899995185,1,0
1,0.557678400000441,1,0
1,0.617701700000907,1,1
1,0.632420900001307,1,1
1,0.569560899995849,1,0
1,0.632820699996955,0,0
1,0.605487100001483,0,1
1,0.330399599995872,1,1
1,0.473863599996548,0,0
1,0.457818499999121,1,0
1,0.456249799994112,0,1
1,0.504563199996483,0,1
1,0.470904499998142,1,0
1,0.458164700001362,0,1
1,0.395437899998797,1,0
2,0.265298900005291,0,0
2,0.233528600001591,0,1
2,0.235236000000441,0,0
2,0.234854100002849,1,1
2,0.255450300006487,1,1
2,0.315830200001074,0,0
2,0.233306499998434,1,0
2,0.233554600003117,0,1
2,0.233855899998161,1,0
2,0.234156099999382,0,0
2,0.234038599999622,0,1
2,0.233044000000518,0,1
2,0.40839920000144,0,0
2,0.242725700001756,0,1
2,0.234045600001991,1,0
2,0.233808100005263,0,1
2,0.233760299997812,0,0
2,0.233351399998355,0,1
2,0.259139000001596,0,0
2,0.233398500000476,0,0
2,0.233790999998746,1,1
2,0.233988899999531,0,1
2,0.234004199999617,0,0
2,0.245130499999505,1,1
2,0.234561700002814,1,0
2,0.285905400000047,1,0
2,0.233273800004099,0,1
2,0.234274900001765,0,0
2,0.299421299998357,1,0
2,0.250474699998449,0,1
2,0.23464519999834,0,0
2,0.244748700002674,0,1
2,0.242460699999356,0,1
2,0.233221599999524,0,0
2,0.233286400005454,0,0
2,0.234324500001094,1,1
2,0.233853500001715,0,1
2,0.23319270000502,0,0
2,0.234467599999334,0,1
2,0.234698600004776,0,0
2,0.233267900002829,1,0
2,0.234002400000463,0,1
2,0.23408250000648,1,1
2,0.233512200000405,0,0
2,0.233652999995684,0,0
2,0.233485999997356,0,1
2,0.233233500002825,0,0
2,0.234284999998636,0,1
2,0.233528699995077,0,1
2,0.233306300004188,0,0
2,0.233451400003105,0,0
2,0.233599400002277,0,1
2,0.235204999997222,1,0
2,0.233090800000355,0,1
2,0.252143300000171,0,0
2,0.234514600000693,0,1
2,0.23316490000434,1,1
2,0.233502100003534,0,0
2,0.234952899998461,0,1
2,0.233368000001065,1,0
2,0.233236200001556,1,1
2,0.23306340000272,0,0
2,0.233419500000309,0,1
2,0.233578699997452,1,0
2,0.234415800005081,1,1
2,0.233597999998892,1,1
2,0.233362300001318,0,0
2,0.233215500004007,1,0
2,0.245027099997969,0,1
2,0.233388400003605,0,1
2,0.276557599994703,1,1
2,0.233263000001898,0,1
2,0.283095799997682,1,0
2,0.233287100003508,0,1
2,0.233221099995717,1,0
2,0.233390699999291,0,1
2,0.234301000004052,0,0
2,0.233492300001672,0,1
2,0.266379499997129,1,0
2,0.31441420000192,0,1
2,0.23385650000273,0,1
2,0.233535200000915,1,0
2,0.271884399997361,0,0
2,0.23376609999832,0,1
2,0.233323400003428,0,1
2,0.234094599996752,1,0
2,0.234472199997981,1,0
2,0.233248000004096,1,1
2,0.233986100000038,1,0
2,0.234271000001172,1,1
2,0.282487699994817,1,1
2,0.234235799995076,0,0
2,0.266040700000303,0,1
2,0.23507100000279,1,1
2,0.233277899998939,0,1
2,0.2337939,1,0
2,0.27209660000517,0,0
2,0.26720970000315,1,1
2,0.233224100004009,1,0
2,0.252942899998743,0,1
2,0.234185599998455,1,0
2,0.235236500004248,1,1
2,0.23985410000023,1,0
2,0.233596700003545,0,1
2,0.233487299999979,1,1
2,0.233390100001998,1,1
2,0.233322200001567,0,0
2,0.234035300003598,0,1
2,0.233328000002075,1,0
2,0.233965499995975,0,1
2,0.233668100001523,1,0
2,0.233192899999267,0,1
2,0.234238399993046,1,1
2,0.234497799996461,0,0
2,0.233587000002444,0,1
2,0.234637199995632,1,0
2,0.233492999999726,1,1
2,0.233434299996588,0,0
2,0.234840600001917,0,1
2,0.2342423999944,0,1
2,0.233353899995564,1,0
2,0.23422379999829,0,0
2,0.234347500001604,1,0
2,0.234136600003694,1,1
2,0.23425159999897,1,1
2,0.233267600000545,1,0
2,0.233442700002342,1,1
2,0.233394700000645,1,0
2,0.234512300005008,1,0
2,0.234952099999646,0,1
2,0.233965200000966,1,1
2,0.233900500003074,0,0
2,0.275432100002945,1,0
2,0.26564910000161,1,1
2,0.233210799997323,1,0
2,0.284607000001415,1,0
2,0.346702399998321,1,1
2,0.234047300000384,0,1
2,0.248528000003716,1,0
2,0.378664500000014,0,1
2,0.282056500000181,1,0
2,0.361579100004747,1,0
2,0.244983099997626,0,1
2,0.266761400001997,1,0
2,0.233021699998062,1,1
2,0.233700099997805,1,1
2,0.233451899999636,1,0
2,0.237019299995154,1,0
2,0.287834399998246,1,1
2,0.233569899995928,1,0
2,0.233363100000133,1,1
2,0.234287100000074,0,0
2,0.233626199995342,0,1
2,0.234869200001413,1,0
2,0.233716499998991,1,1
2,0.233299400002579,0,0
2,0.265550899996015,1,1
2,0.233323699998436,1,1
2,0.234413699996367,0,0
2,0.234524400002556,0,0
2,0.233607399997709,0,1
2,0.233279400003084,0,1
2,0.233140900003491,1,0
2,0.235049199996865,1,0
2,0.234255999996094,1,1
2,0.233446300000651,1,0
2,0.23312860000442,0,1
2,0.233387499996752,1,0
2,0.377106400002958,1,1
2,0.362490799998341,1,0
2,0.250921200000448,1,1
2,0.24925809999695,0,0
2,0.233711499997298,1,0
2,0.344568599997729,1,1
