,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(0).9,-1.6958991234060634,0.1764967290060775,-2.052067969836326,-1.8120178788121064,-1.691135253877045,-1.5741473123526903,-1.3588462194482287,0.004491851179414306
v_subj(0).10,-2.8454233521517684,0.21139665173601518,-3.2793142374493103,-2.9848309173583267,-2.8415719318411945,-2.703528235422498,-2.4255305071979207,0.00740068044111393
v_subj(0).11,-1.537922019287221,0.18741877838454868,-1.8993763562083412,-1.6659731378438924,-1.5360704004714345,-1.4135927542802054,-1.1695954059699019,0.004792592987077591
v_subj(1).0,-1.2515989897156163,0.18023570415120485,-1.6131177787492441,-1.3691143241527897,-1.251684285895207,-1.1352564428031453,-0.8916294007242955,0.004870025842330043
v_subj(1).1,-3.2988176952639683,0.22118320231330482,-3.743381053940947,-3.445562309280107,-3.2929107505511683,-3.1514022914943602,-2.868623860490497,0.011769135153327535
v_subj(1).2,-0.2774901221517954,0.20419850282685278,-0.6969045776154736,-0.41252085479019324,-0.2759467899363922,-0.14220010366812116,0.11878345461389728,0.005493760451243996
v_subj(1).3,-2.8369062460023664,0.20086050689523588,-3.2273392076140173,-2.9774043351840436,-2.8323318967797193,-2.698132532741824,-2.443049940854453,0.009448634883220437
v_subj(1).4,-0.32001238238294366,0.1837369924455867,-0.6934065452216464,-0.4373958568242688,-0.3212946832792644,-0.19107085959128234,0.016601207428013742,0.0038686328281827232
v_subj(1).5,-0.9147392247934043,0.1799893532634943,-1.2776749882862901,-1.0403518297304972,-0.9042888007778673,-0.7907293386832455,-0.5691062795587476,0.005091697596306323
v_subj(1).6,-0.6328137700765988,0.21332965466285173,-1.0491182740143783,-0.7783965832937861,-0.6320569582296698,-0.4863203051976471,-0.22611789168202812,0.005212452725314288
v_subj(1).7,-3.1250188402862276,0.21671764217683803,-3.542560473541523,-3.269485370113886,-3.1218876186551854,-2.978880211727918,-2.7010646168075976,0.010010249727255612
v_subj(1).8,0.5944674503904441,0.2237106836287721,0.150126961644518,0.4426203507854282,0.5913234608422072,0.7565469824968962,1.0205728489183064,0.006775517044130257
v_subj(1).9,-1.3082008430498322,0.17584430378916088,-1.6602044692644844,-1.4297348817872764,-1.3080024273502067,-1.1912019451993432,-0.9668620947926221,0.00394676896935262
v_subj(1).10,-0.5532964214541571,0.18303269195791122,-0.9184203395928487,-0.6773436462967698,-0.549602935995885,-0.425465333312351,-0.1983058224935697,0.005074144599883621
v_subj(1).11,-1.5072201221579467,0.19157804660876743,-1.8907667267730126,-1.6358873415797293,-1.5038220068009531,-1.379619109509353,-1.1430036839435325,0.004818232307300041
t,0.2088242384820337,0.020188727944431117,0.1756301676963944,0.19514997077086466,0.2068331406019805,0.22027475504110428,0.2555890312466757,0.0005900820347627836
t_std,0.06617462872040684,0.02042337273612717,0.039470540216613934,0.05233661569357222,0.06245092100609928,0.07512779691989332,0.11425781185362516,0.0007966393739243178
t_subj.0,0.17055504252322823,0.006736082932614365,0.1566312574867952,0.16628706429467588,0.17086833652421726,0.17507435064906213,0.18313464408156704,0.00020824572731741265
t_subj.1,0.1307540878599402,0.01194909577529716,0.10568301500813626,0.12326576946505681,0.13114150375290368,0.13856056576527565,0.15297758438506537,0.0005670306929087461
t_subj.2,0.3022825157237941,0.003362772297844075,0.2951362572734477,0.30023686726301274,0.30261017032316195,0.3045843555164016,0.3080615491425934,8.387051358342169e-05
t_subj.3,0.1329206816588616,0.011100745652764038,0.11002174318857126,0.12562576983432583,0.13326386301730314,0.14058973171858347,0.15383156129239212,0.0004976300211779223
t_subj.4,0.17866399468865515,0.005443454461859125,0.16700176211546286,0.17521547644195296,0.17888328449340457,0.18235033490181227,0.188671570836058,0.00016296275621007747
t_subj.5,0.20623708009677222,0.0047244184580336746,0.1963202893714096,0.2029978611545144,0.20653055556384256,0.2094888492441215,0.21466755337831048,0.00012869675015250896
t_subj.6,0.1876745153016782,0.003926837885531571,0.17917864497012567,0.18513699740088577,0.18786224613407987,0.19043932336396366,0.19449285353071508,0.0001331399102960438
t_subj.7,0.183885090391081,0.007100675711092721,0.1682056073500981,0.17948361001873633,0.1844984406884913,0.18882725485345014,0.1964014415439752,0.0002632205203261918
t_subj.8,0.323084321108897,0.00205715156147466,0.3183939669342173,0.3219072540290088,0.3232874049747347,0.3245046236214654,0.3265457437975441,4.894130583322694e-05
t_subj.9,0.18305703005979118,0.005817715903263758,0.170744257833174,0.17929378501426804,0.1832417436851051,0.18730811655253965,0.19351875451160316,0.00016232841417036927
t_subj.10,0.22116899515992278,0.002997915894617255,0.21451221802742576,0.2193144460595577,0.22156589552127834,0.2233308752802814,0.2259746539604074,8.200920941413711e-05
t_subj.11,0.20362390972229047,0.0038743039937015095,0.19572358945290347,0.20118632335019812,0.2038264516263685,0.20644628100306756,0.21058918720776398,0.00011532278774209167
z,0.6806939337515878,0.015811398356469008,0.6490415399170776,0.670083164471217,0.6808254553118985,0.6917735899095443,0.711530697017824,0.0003767358336642623
z_std,0.22950027898141898,0.02527120245024795,0.1822056523079092,0.21209808134094263,0.22860485857540935,0.2464069201750374,0.2804720777628529,0.000798002116325614
z_subj.0,0.5918980990455709,0.020271598261896687,0.5535741057824316,0.5776362747196448,0.5917221265744627,0.6058482699497243,0.6309867571787402,0.0006072075084602044
z_subj.1,0.7824470542374795,0.02049231087303446,0.7413188115126884,0.7692916435374468,0.7827811250670474,0.7961220659926664,0.821318914459344,0.0009037135094129709
z_subj.2,0.6589762686130801,0.021677990302110237,0.6161108117993158,0.6446603822341598,0.6591346386866489,0.6740107307674016,0.7011825093754722,0.0007020439258295059
z_subj.3,0.7565714345800014,0.020514841020889334,0.7155473718640755,0.7428315634524373,0.7575853407641332,0.7703049995543229,0.7953120214984569,0.0009118848696795976
z_subj.4,0.5613300756862378,0.01922129546968598,0.5234126868424522,0.5479410364940479,0.5614636494080387,0.5742727909481816,0.5988867015592105,0.0004703037104797344
z_subj.5,0.6673754845760169,0.02201762925264367,0.6238494942276067,0.6527596629098299,0.6674264152123309,0.6818368832833257,0.7109454421929681,0.000657936042854667
z_subj.6,0.6154688521358841,0.016905821210813146,0.5822890597111694,0.6046404275097665,0.615563558527693,0.6267963233754493,0.6486265549548269,0.0004934398465264128
z_subj.7,0.7806429910637387,0.018899139689590585,0.7421212255908849,0.7682208525152867,0.781403054943647,0.793779714786402,0.8165682732379091,0.0007946294145652711
z_subj.8,0.5718334659716685,0.0242510174412795,0.5236184568015666,0.5549852993186779,0.5715519117641777,0.5882884278633566,0.6186392413778624,0.000797032722476633
z_subj.9,0.6937032310962641,0.01691630673118538,0.659707965317492,0.6819218854068553,0.6940944497785531,0.7054091483343568,0.7262046543008722,0.0004540630360987687
z_subj.10,0.7241082442123328,0.020285943760096264,0.6829855856139,0.7112832167091528,0.7244116250785461,0.7377749236767276,0.7641192438233965,0.0007198943100761936
z_subj.11,0.7370522543042052,0.015408439487830553,0.706472566910617,0.7271000254391211,0.7371914534153752,0.7475900471128495,0.7663267413927416,0.0004630847212114323
