P,T,W,M,condition_id
2,150,1500,1650,P2_T150_W1500
2,200,200,400,P2_T200_W200
2,200,300,500,P2_T200_W300
2,200,400,600,P2_T200_W400
2,200,500,700,P2_T200_W500
2,200,600,800,P2_T200_W600
2,200,800,1000,P2_T200_W800
2,200,1000,1200,P2_T200_W1000
2,200,1200,1400,P2_T200_W1200
2,200,1500,1700,P2_T200_W1500
2,280,200,480,P2_T280_W200
2,280,300,580,P2_T280_W300
2,280,400,680,P2_T280_W400
2,280,500,780,P2_T280_W500
2,280,600,880,P2_T280_W600
2,280,800,1080,P2_T280_W800
2,280,1000,1280,P2_T280_W1000
2,280,1200,1480,P2_T280_W1200
2,280,1500,1780,P2_T280_W1500
2,350,200,550,P2_T350_W200
2,350,300,650,P2_T350_W300
2,350,400,750,P2_T350_W400
2,350,500,850,P2_T350_W500
2,350,600,950,P2_T350_W600
2,350,800,1150,P2_T350_W800
2,350,1000,1350,P2_T350_W1000
2,350,1200,1550,P2_T350_W1200
2,350,1500,1850,P2_T350_W1500
2,420,200,620,P2_T420_W200
2,420,300,720,P2_T420_W300
2,420,400,820,P2_T420_W400
2,420,500,920,P2_T420_W500
2,420,600,1020,P2_T420_W600
2,420,800,1220,P2_T420_W800
2,420,1000,1420,P2_T420_W1000
2,420,1200,1620,P2_T420_W1200
2,420,1500,1920,P2_T420_W1500
2,500,200,700,P2_T500_W200
2,500,300,800,P2_T500_W300
2,500,400,900,P2_T500_W400
2,500,500,1000,P2_T500_W500
2,500,600,1100,P2_T500_W600
2,500,800,1300,P2_T500_W800
2,500,1000,1500,P2_T500_W1000
2,500,1200,1700,P2_T500_W1200
2,500,1500,2000,P2_T500_W1500
2,600,200,800,P2_T600_W200
2,600,300,900,P2_T600_W300
2,600,400,1000,P2_T600_W400
2,600,500,1100,P2_T600_W500
2,600,600,1200,P2_T600_W600
2,600,800,1400,P2_T600_W800
2,600,1000,1600,P2_T600_W1000
2,600,1200,1800,P2_T600_W1200
2,600,1500,2100,P2_T600_W1500
4,10,200,210,P4_T10_W200
4,10,300,310,P4_T10_W300
4,10,400,410,P4_T10_W400
4,10,500,510,P4_T10_W500
4,10,600,610,P4_T10_W600
4,10,800,810,P4_T10_W800
4,10,1000,1010,P4_T10_W1000
4,10,1200,1210,P4_T10_W1200
4,10,1500,1510,P4_T10_W1500
4,20,200,220,P4_T20_W200
4,20,300,320,P4_T20_W300
4,20,400,420,P4_T20_W400
4,20,500,520,P4_T20_W500
4,20,600,620,P4_T20_W600
4,20,800,820,P4_T20_W800
4,20,1000,1020,P4_T20_W1000
4,20,1200,1220,P4_T20_W1200
4,20,1500,1520,P4_T20_W1500
4,30,200,230,P4_T30_W200
4,30,300,330,P4_T30_W300
4,30,400,430,P4_T30_W400
4,30,500,530,P4_T30_W500
4,30,600,630,P4_T30_W600
4,30,800,830,P4_T30_W800
4,30,1000,1030,P4_T30_W1000
4,30,1200,1230,P4_T30_W1200
4,30,1500,1530,P4_T30_W1500
4,50,200,250,P4_T50_W200
4,50,300,350,P4_T50_W300
4,50,400,450,P4_T50_W400
4,50,500,550,P4_T50_W500
4,50,600,650,P4_T50_W600
4,50,800,850,P4_T50_W800
4,50,1000,1050,P4_T50_W1000
4,50,1200,1250,P4_T50_W1200
4,50,1500,1550,P4_T50_W1500
4,80,200,280,P4_T80_W200
4,80,300,380,P4_T80_W300
4,80,400,480,P4_T80_W400
4,80,500,580,P4_T80_W500
4,80,600,680,P4_T80_W600
4,80,800,880,P4_T80_W800
4,80,1000,1080,P4_T80_W1000
4,80,1200,1280,P4_T80_W1200
4,80,1500,1580,P4_T80_W1500
4,100,200,300,P4_T100_W200
4,100,300,400,P4_T100_W300
4,100,400,500,P4_T100_W400
4,100,500,600,P4_T100_W500
4,100,600,700,P4_T100_W600
4,100,800,900,P4_T100_W800
4,100,1000,1100,P4_T100_W1000
4,100,1200,1300,P4_T100_W1200
4,100,1500,1600,P4_T100_W1500
4,150,200,350,P4_T150_W200
4,150,300,450,P4_T150_W300
4,150,400,550,P4_T150_W400
4,150,500,650,P4_T150_W500
4,150,600,750,P4_T150_W600
4,150,800,950,P4_T150_W800
4,150,1000,1150,P4_T150_W1000
4,150,1200,1350,P4_T150_W1200
4,150,1500,1650,P4_T150_W1500
4,200,200,400,P4_T200_W200
4,200,300,500,P4_T200_W300
4,200,400,600,P4_T200_W400
4,200,500,700,P4_T200_W500
4,200,600,800,P4_T200_W600
4,200,800,1000,P4_T200_W800
4,200,1000,1200,P4_T200_W1000
4,200,1200,1400,P4_T200_W1200
4,200,1500,1700,P4_T200_W1500
4,280,200,480,P4_T280_W200
4,280,300,580,P4_T280_W300
4,280,400,680,P4_T280_W400
4,280,500,780,P4_T280_W500
4,280,600,880,P4_T280_W600
4,280,800,1080,P4_T280_W800
4,280,1000,1280,P4_T280_W1000
4,280,1200,1480,P4_T280_W1200
4,280,1500,1780,P4_T280_W1500
4,350,200,550,P4_T350_W200
4,350,300,650,P4_T350_W300
4,350,400,750,P4_T350_W400
4,350,500,850,P4_T350_W500
4,350,600,950,P4_T350_W600
4,350,800,1150,P4_T350_W800
4,350,1000,1350,P4_T350_W1000
4,350,1200,1550,P4_T350_W1200
4,350,1500,1850,P4_T350_W1500
4,420,200,620,P4_T420_W200
4,420,300,720,P4_T420_W300
4,420,400,820,P4_T420_W400
4,420,500,920,P4_T420_W500
4,420,600,1020,P4_T420_W600
4,420,800,1220,P4_T420_W800
4,420,1000,1420,P4_T420_W1000
4,420,1200,1620,P4_T420_W1200
4,420,1500,1920,P4_T420_W1500
4,500,200,700,P4_T500_W200
4,500,300,800,P4_T500_W300
4,500,400,900,P4_T500_W400
4,500,500,1000,P4_T500_W500
4,500,600,1100,P4_T500_W600
4,500,800,1300,P4_T500_W800
4,500,1000,1500,P4_T500_W1000
4,500,1200,1700,P4_T500_W1200
4,500,1500,2000,P4_T500_W1500
4,600,200,800,P4_T600_W200
4,600,300,900,P4_T600_W300
4,600,400,1000,P4_T600_W400
4,600,500,1100,P4_T600_W500
4,600,600,1200,P4_T600_W600
4,600,800,1400,P4_T600_W800
4,600,1000,1600,P4_T600_W1000
4,600,1200,1800,P4_T600_W1200
4,600,1500,2100,P4_T600_W1500
8,10,200,210,P8_T10_W200
8,10,300,310,P8_T10_W300
8,10,400,410,P8_T10_W400
8,10,500,510,P8_T10_W500
8,10,600,610,P8_T10_W600
8,10,800,810,P8_T10_W800
8,10,1000,1010,P8_T10_W1000
8,10,1200,1210,P8_T10_W1200
8,10,1500,1510,P8_T10_W1500
8,20,200,220,P8_T20_W200
8,20,300,320,P8_T20_W300
8,20,400,420,P8_T20_W400
8,20,500,520,P8_T20_W500
8,20,600,620,P8_T20_W600
8,20,800,820,P8_T20_W800
8,20,1000,1020,P8_T20_W1000
8,20,1200,1220,P8_T20_W1200
8,20,1500,1520,P8_T20_W1500
8,30,200,230,P8_T30_W200
8,30,300,330,P8_T30_W300
8,30,400,430,P8_T30_W400
8,30,500,530,P8_T30_W500
8,30,600,630,P8_T30_W600
8,30,800,830,P8_T30_W800
8,30,1000,1030,P8_T30_W1000
8,30,1200,1230,P8_T30_W1200
8,30,1500,1530,P8_T30_W1500
8,50,200,250,P8_T50_W200
8,50,300,350,P8_T50_W300
8,50,400,450,P8_T50_W400
8,50,500,550,P8_T50_W500
8,50,600,650,P8_T50_W600
8,50,800,850,P8_T50_W800
8,50,1000,1050,P8_T50_W1000
8,50,1200,1250,P8_T50_W1200
8,50,1500,1550,P8_T50_W1500
8,80,200,280,P8_T80_W200
8,80,300,380,P8_T80_W300
8,80,400,480,P8_T80_W400
8,80,500,580,P8_T80_W500
8,80,600,680,P8_T80_W600
8,80,800,880,P8_T80_W800
8,80,1000,1080,P8_T80_W1000
8,80,1200,1280,P8_T80_W1200
8,80,1500,1580,P8_T80_W1500
8,100,200,300,P8_T100_W200
8,100,300,400,P8_T100_W300
8,100,400,500,P8_T100_W400
8,100,500,600,P8_T100_W500
8,100,600,700,P8_T100_W600
8,100,800,900,P8_T100_W800
8,100,1000,1100,P8_T100_W1000
8,100,1200,1300,P8_T100_W1200
8,100,1500,1600,P8_T100_W1500
8,150,200,350,P8_T150_W200
8,150,300,450,P8_T150_W300
8,150,400,550,P8_T150_W400
8,150,500,650,P8_T150_W500
8,150,600,750,P8_T150_W600
8,150,800,950,P8_T150_W800
8,150,1000,1150,P8_T150_W1000
8,150,1200,1350,P8_T150_W1200
8,150,1500,1650,P8_T150_W1500
8,200,200,400,P8_T200_W200
8,200,300,500,P8_T200_W300
8,200,400,600,P8_T200_W400
8,200,500,700,P8_T200_W500
8,200,600,800,P8_T200_W600
8,200,800,1000,P8_T200_W800
8,200,1000,1200,P8_T200_W1000
8,200,1200,1400,P8_T200_W1200
8,200,1500,1700,P8_T200_W1500
8,280,200,480,P8_T280_W200
8,280,300,580,P8_T280_W300
8,280,400,680,P8_T280_W400
8,280,500,780,P8_T280_W500
8,280,600,880,P8_T280_W600
8,280,800,1080,P8_T280_W800
8,280,1000,1280,P8_T280_W1000
8,280,1200,1480,P8_T280_W1200
8,280,1500,1780,P8_T280_W1500
8,350,200,550,P8_T350_W200
8,350,300,650,P8_T350_W300
8,350,400,750,P8_T350_W400
8,350,500,850,P8_T350_W500
8,350,600,950,P8_T350_W600
8,350,800,1150,P8_T350_W800
8,350,1000,1350,P8_T350_W1000
8,350,1200,1550,P8_T350_W1200
8,350,1500,1850,P8_T350_W1500
8,420,200,620,P8_T420_W200
8,420,300,720,P8_T420_W300
8,420,400,820,P8_T420_W400
8,420,500,920,P8_T420_W500
8,420,600,1020,P8_T420_W600
8,420,800,1220,P8_T420_W800
8,420,1000,1420,P8_T420_W1000
8,420,1200,1620,P8_T420_W1200
8,420,1500,1920,P8_T420_W1500
8,500,200,700,P8_T500_W200
8,500,300,800,P8_T500_W300
8,500,400,900,P8_T500_W400
8,500,500,1000,P8_T500_W500
8,500,600,1100,P8_T500_W600
8,500,800,1300,P8_T500_W800
8,500,1000,1500,P8_T500_W1000
8,500,1200,1700,P8_T500_W1200
8,500,1500,2000,P8_T500_W1500
8,600,200,800,P8_T600_W200
8,600,300,900,P8_T600_W300
8,600,400,1000,P8_T600_W400
8,600,500,1100,P8_T600_W500
8,600,600,1200,P8_T600_W600
8,600,800,1400,P8_T600_W800
8,600,1000,1600,P8_T600_W1000
8,600,1200,1800,P8_T600_W1200
8,600,1500,2100,P8_T600_W1500
12,10,200,210,P12_T10_W200
12,10,300,310,P12_T10_W300
12,10,400,410,P12_T10_W400
12,10,500,510,P12_T10_W500
12,10,600,610,P12_T10_W600
12,10,800,810,P12_T10_W800
12,10,1000,1010,P12_T10_W1000
12,10,1200,1210,P12_T10_W1200
12,10,1500,1510,P12_T10_W1500
12,20,200,220,P12_T20_W200
12,20,300,320,P12_T20_W300
12,20,400,420,P12_T20_W400
12,20,500,520,P12_T20_W500
12,20,600,620,P12_T20_W600
12,20,800,820,P12_T20_W800
12,20,1000,1020,P12_T20_W1000
12,20,1200,1220,P12_T20_W1200
12,20,1500,1520,P12_T20_W1500
12,30,200,230,P12_T30_W200
12,30,300,330,P12_T30_W300
12,30,400,430,P12_T30_W400
12,30,500,530,P12_T30_W500
12,30,600,630,P12_T30_W600
12,30,800,830,P12_T30_W800
12,30,1000,1030,P12_T30_W1000
12,30,1200,1230,P12_T30_W1200
12,30,1500,1530,P12_T30_W1500
12,50,200,250,P12_T50_W200
12,50,300,350,P12_T50_W300
12,50,400,450,P12_T50_W400
12,50,500,550,P12_T50_W500
12,50,600,650,P12_T50_W600
12,50,800,850,P12_T50_W800
12,50,1000,1050,P12_T50_W1000
12,50,1200,1250,P12_T50_W1200
12,50,1500,1550,P12_T50_W1500
12,80,200,280,P12_T80_W200
12,80,300,380,P12_T80_W300
12,80,400,480,P12_T80_W400
12,80,500,580,P12_T80_W500
12,80,600,680,P12_T80_W600
12,80,800,880,P12_T80_W800
12,80,1000,1080,P12_T80_W1000
12,80,1200,1280,P12_T80_W1200
12,80,1500,1580,P12_T80_W1500
12,100,200,300,P12_T100_W200
12,100,300,400,P12_T100_W300
12,100,400,500,P12_T100_W400
12,100,500,600,P12_T100_W500
12,100,600,700,P12_T100_W600
12,100,800,900,P12_T100_W800
12,100,1000,1100,P12_T100_W1000
12,100,1200,1300,P12_T100_W1200
12,100,1500,1600,P12_T100_W1500
12,150,200,350,P12_T150_W200
12,150,300,450,P12_T150_W300
12,150,400,550,P12_T150_W400
12,150,500,650,P12_T150_W500
12,150,600,750,P12_T150_W600
12,150,800,950,P12_T150_W800
12,150,1000,1150,P12_T150_W1000
12,150,1200,1350,P12_T150_W1200
12,150,1500,1650,P12_T150_W1500
12,200,200,400,P12_T200_W200
12,200,300,500,P12_T200_W300
12,200,400,600,P12_T200_W400
12,200,500,700,P12_T200_W500
12,200,600,800,P12_T200_W600
12,200,800,1000,P12_T200_W800
12,200,1000,1200,P12_T200_W1000
12,200,1200,1400,P12_T200_W1200
12,200,1500,1700,P12_T200_W1500
12,280,200,480,P12_T280_W200
12,280,300,580,P12_T280_W300
12,280,400,680,P12_T280_W400
12,280,500,780,P12_T280_W500
12,280,600,880,P12_T280_W600
12,280,800,1080,P12_T280_W800
12,280,1000,1280,P12_T280_W1000
12,280,1200,1480,P12_T280_W1200
12,280,1500,1780,P12_T280_W1500
12,350,200,550,P12_T350_W200
12,350,300,650,P12_T350_W300
12,350,400,750,P12_T350_W400
12,350,500,850,P12_T350_W500
12,350,600,950,P12_T350_W600
12,350,800,1150,P12_T350_W800
12,350,1000,1350,P12_T350_W1000
12,350,1200,1550,P12_T350_W1200
12,350,1500,1850,P12_T350_W1500
12,420,200,620,P12_T420_W200
12,420,300,720,P12_T420_W300
12,420,400,820,P12_T420_W400
12,420,500,920,P12_T420_W500
12,420,600,1020,P12_T420_W600
12,420,800,1220,P12_T420_W800
12,420,1000,1420,P12_T420_W1000
12,420,1200,1620,P12_T420_W1200
12,420,1500,1920,P12_T420_W1500
12,500,200,700,P12_T500_W200
12,500,300,800,P12_T500_W300
12,500,400,900,P12_T500_W400
12,500,500,1000,P12_T500_W500
12,500,600,1100,P12_T500_W600
12,500,800,1300,P12_T500_W800
12,500,1000,1500,P12_T500_W1000
12,500,1200,1700,P12_T500_W1200
12,500,1500,2000,P12_T500_W1500
12,600,200,800,P12_T600_W200
12,600,300,900,P12_T600_W300
12,600,400,1000,P12_T600_W400
12,600,500,1100,P12_T600_W500
12,600,600,1200,P12_T600_W600
12,600,800,1400,P12_T600_W800
12,600,1000,1600,P12_T600_W1000
12,600,1200,1800,P12_T600_W1200
12,600,1500,2100,P12_T600_W1500
16,10,200,210,P16_T10_W200
16,10,300,310,P16_T10_W300
16,10,400,410,P16_T10_W400
16,10,500,510,P16_T10_W500
16,10,600,610,P16_T10_W600
16,10,800,810,P16_T10_W800
16,10,1000,1010,P16_T10_W1000
16,10,1200,1210,P16_T10_W1200
16,10,1500,1510,P16_T10_W1500
16,20,200,220,P16_T20_W200
16,20,300,320,P16_T20_W300
16,20,400,420,P16_T20_W400
16,20,500,520,P16_T20_W500
16,20,600,620,P16_T20_W600
16,20,800,820,P16_T20_W800
16,20,1000,1020,P16_T20_W1000
16,20,1200,1220,P16_T20_W1200
16,20,1500,1520,P16_T20_W1500
16,30,200,230,P16_T30_W200
16,30,300,330,P16_T30_W300
16,30,400,430,P16_T30_W400
16,30,500,530,P16_T30_W500
16,30,600,630,P16_T30_W600
16,30,800,830,P16_T30_W800
16,30,1000,1030,P16_T30_W1000
16,30,1200,1230,P16_T30_W1200
16,30,1500,1530,P16_T30_W1500
16,50,200,250,P16_T50_W200
16,50,300,350,P16_T50_W300
16,50,400,450,P16_T50_W400
