P,T_ms,W_ms,M_ms,is_existing,pred_spe_rt_ms,uncertainty,utility_uncertainty_plus_abs_pred
0,500,1100,1600,False,46.82064048095975,12.031498101703628,23.736658221943564
0,200,1100,1300,False,46.82047823340882,12.03120539378686,23.736324952139064
0,30,1100,1130,False,46.820329522464554,12.031226158774198,23.736308539390336
0,80,1100,1180,False,46.82037752406012,12.031206036270166,23.736300417285197
0,100,1100,1200,False,46.82039572998215,12.031201257465206,23.736300189960744
8,500,1100,1600,False,46.725966718938224,11.94282336524096,23.624315044975518
8,200,1100,1300,False,46.72580317425209,11.942529996014096,23.623980789577118
8,30,1100,1130,False,46.72565391332397,11.942552119971232,23.623965598302224
8,80,1100,1180,False,46.72570206278243,11.942531467579315,23.623956983274923
15,500,1100,1600,False,46.63894567132963,11.874019786289784,23.53375620412219
15,200,1100,1300,False,46.638781011932615,11.873726106008156,23.533421358991312
15,30,1100,1130,False,46.63863128943565,11.873749414960356,23.533407237319267
15,80,1100,1180,False,46.63867956187596,11.873728311818896,23.533398202287884
15,100,1100,1200,False,46.638697882359054,11.873723194987827,23.53339766557759
30,500,1100,1600,False,46.43949307438539,11.755024515874705,23.364897784471054
30,200,1100,1300,False,46.43932609212044,11.754731047710331,23.36456257074044
30,30,1100,1130,False,46.43917544320267,11.754756865040058,23.364550725840726
30,80,1100,1180,False,46.43922395884241,11.75473484480588,23.364540834516482
30,100,1100,1200,False,46.43924238343668,11.754729402981809,23.36453999884098
60,500,1100,1600,False,45.98875940758845,11.637797810412437,23.13498766230955
60,200,1100,1300,False,45.98858806280545,11.637508515021198,23.13465553072256
60,30,1100,1130,False,45.98843582284442,11.637539092670002,23.13464804838111
60,80,1100,1180,False,45.98848474027584,11.63751549244768,23.13463667751664
60,100,1100,1200,False,45.9885033410247,11.637509460602502,23.13463529585868
120,500,1100,1600,False,44.89180010933378,11.89649462984102,23.119444657174466
120,200,1100,1300,False,44.89162127704371,11.896227925822012,23.119133245082942
120,30,1100,1130,False,44.89146693838727,11.89626607483387,23.11913280943069
120,80,1100,1180,False,44.89151631206282,11.89624064055336,23.119119718569067
120,100,1100,1200,False,44.89153513288052,11.896233783427318,23.119117566647446
0,500,800,1300,False,19.29868711462942,11.313889741535741,16.138561520193097
0,200,800,1000,False,19.29846850951816,11.313433335444264,16.138050462823806
0,100,800,900,False,19.298394152394458,11.313382008740968,16.137980546839582
0,80,800,880,False,19.29837919166275,11.31337779215713,16.137972590072817
0,30,800,830,False,19.29834165960498,11.313376071845525,16.137961486746768
8,500,800,1300,False,19.06274978973409,11.196512954923579,15.962200402357102
8,200,800,1000,False,19.062529436954712,11.196051828608136,15.961684187846814
8,100,800,900,False,19.06245472815683,11.196000216261588,15.961613898300795
8,80,800,880,False,19.062439710943323,11.19599601982158,15.96160594755741
8,30,800,830,False,19.06240205788326,11.195994462559433,15.961594977030249
15,500,800,1300,False,18.855696489926753,11.101741962487967,15.815666084969656
15,200,800,1000,False,18.855474635266397,11.101277042552361,15.81514570136896
15,100,800,900,False,18.855399628458066,11.101225223515684,15.8150751306302
15,80,800,880,False,18.855384563799564,11.101221049214104,15.815067190163994
15,30,800,830,False,18.855346809856186,11.101219639868438,15.815056342332484
120,500,300,800,False,-10.13281146981133,13.23216612905766,15.765368996510492
120,200,300,500,False,-10.133013746505416,13.231786866070658,15.765040302697013
120,100,300,400,False,-10.133053860041688,13.231743157285925,15.765006622296347
120,30,300,330,False,-10.133073814123005,13.231737168793941,15.765005622324693
120,80,300,380,False,-10.133060244015038,13.231739378411937,15.765004439415698
30,500,800,1300,False,18.410482966868752,10.924723812423991,15.52734455414118
30,200,800,1000,False,18.410257982548046,10.924251943094394,15.526816438731405
30,100,800,900,False,18.410182368193304,10.92419982835092,15.526745420399246
30,80,800,880,False,18.410167208166044,10.924195716163819,15.52673751820533
30,30,800,830,False,18.410129253922836,10.924194638936806,15.526726952417516
60,500,800,1300,False,17.516543620760544,10.684353356661246,15.063489261851382
60,200,800,1000,False,17.516312758724375,10.683873192763487,15.06295138244458
60,100,800,900,False,17.51623605991528,10.68382115513969,15.06288017011851
60,80,800,880,False,17.516220735484527,10.683817228908687,15.062872412779818
60,30,800,830,False,17.516182446776778,10.6838168652652,15.062862476959396
120,500,800,1300,False,15.736827125256521,10.693793695760718,14.628000477074849
120,200,800,1000,False,15.736586175216932,10.693322950769122,14.627469494573354
120,100,800,900,False,15.736507855320294,10.693273938998365,14.627400902828438
60,500,300,800,False,-8.111063036977239,12.517108122787702,14.544873882032011
60,200,300,500,False,-8.111255957715123,12.516695481595047,14.544509471023828
60,100,300,400,False,-8.111294931025895,12.51664681129333,14.544470544049803
60,30,300,330,False,-8.11131467553357,12.516639183859025,14.544467852742418
60,80,300,380,False,-8.111301205660162,12.516642410020832,14.544467711435873
30,500,300,800,False,-7.005113594618635,12.381682869287557,14.132961267942216
30,200,300,500,False,-7.005301139020922,12.381262007314637,14.132587292069868
30,100,300,400,False,-7.0053394024711935,12.381211835345413,14.132546685963211
30,80,300,380,False,-7.005345600068679,12.381207208063037,14.132543608080207
30,30,300,330,False,-7.005358972047752,12.381203525267548,14.132543268279486
15,500,300,800,False,-6.431734744718415,12.373757169789767,13.981690855969372
15,200,300,500,False,-6.431919442536035,12.373334763677962,13.98131462431197
15,100,300,400,False,-6.431957318217357,12.373284150228008,13.981273479782347
15,80,300,380,False,-6.431963471926792,12.373279439044724,13.981270307026422
15,30,300,330,False,-6.431976783281428,12.373275552907325,13.981269748727682
8,500,300,800,False,-6.159900886007534,12.383863308868087,13.92383853036997
8,200,300,500,False,-6.160084221242318,12.383440787790883,13.923461843101464
8,100,300,400,False,-6.160121908738461,12.383390042643372,13.923420519827987
8,80,300,380,False,-6.160128040771426,12.383385299517998,13.923417309710855
8,30,300,330,False,-6.160141321210961,12.383381325355042,13.923416655657782
