group_id,parameter,censor_mean,censor_q025,censor_q975,drop_mean,drop_q025,drop_q975,delta,abs_delta,ci_overlap,cohens_d
4.0,v_self,0.2322613319538795,-0.6182234395663657,1.0926922363367124,2.197089000817144,1.4014609722324851,3.041735369980728,1.9648276688632647,1.9648276688632647,False,3.2502392947162115
4.0,v_stranger,-0.7935981333873988,-1.6541598531698396,0.0656251499668448,0.9423005413291968,0.1425719910638959,1.741982745402696,1.7358986747165956,1.7358986747165956,False,2.9313791859225753
4.0,SPE_v,1.0258594653412783,-0.17557406914906282,2.2272929998316195,1.2547884594879473,0.11128870654757073,2.398288212428324,0.228928994146669,0.228928994146669,True,0.2705259151973728
4.0,a,1.2637091810508383,1.1143213935511396,1.4375080351057266,1.1256969593159636,1.0129382852820714,1.2626531070528342,-0.1380122217348747,0.1380122217348747,True,-1.355395414310451
4.0,t,0.27137761285413,0.2440771365447905,0.3026603560857656,0.2889407404177408,0.2431333182398224,0.3460088436259146,0.017563127563610836,0.017563127563610836,True,0.5719424142927275
4.0,z,0.5929903985206479,0.5596042781029544,0.62525856429816,0.4374345652111687,0.4120134615302978,0.4639378347176194,-0.15555583330947925,0.15555583330947925,False,-7.214080527257892
5.0,v_self,1.4851211622186802,0.9826834547826876,1.972597742329044,2.3225974756038195,1.835329708923239,2.80895660838594,0.8374763133851393,0.8374763133851393,True,2.3991814089090564
5.0,v_stranger,0.5916689890473946,0.0722849246010306,1.114414456147863,1.1122740877842645,0.6500250859026919,1.5927014452474555,0.5206050987368699,0.5206050987368699,True,1.4672178334567674
5.0,SPE_v,0.8934521731712856,0.18867629331987723,1.598228053022694,1.210323387819555,0.5357551360563534,1.8848916395827566,0.3168712146482694,0.3168712146482694,True,0.636615348890214
5.0,a,1.4755929973693658,1.3606874400945186,1.602620465475914,1.3495173435451149,1.2415903670382105,1.4647828697099543,-0.1260756538242509,0.1260756538242509,True,-1.5386603792880766
5.0,t,0.3043254205513613,0.2531479827718552,0.3678699192677204,0.3722088928337944,0.3018179172830312,0.4690590722375024,0.06788347228243308,0.06788347228243308,True,1.3273931403879624
5.0,z,0.4622833816998943,0.4399089648685182,0.4843133890575737,0.4093687560362971,0.3898220018826522,0.429017774972197,-0.052914625663597226,0.052914625663597226,False,-3.592347920459141
6.0,v_self,0.9202027074953107,0.5227796508939417,1.3387077419859774,1.7014152566015044,1.1317115593685625,2.272088590073808,0.7812125491061936,0.7812125491061936,True,2.2468046156071577
6.0,v_stranger,0.6927442482911167,0.3100713408491984,1.1147753641521416,0.8652035597360173,0.3462061081746931,1.4008325551455008,0.17245931144490056,0.17245931144490056,True,0.5180417236346098
6.0,SPE_v,0.22745845920419405,-0.33450770843911126,0.7894246268474994,0.8362116968654871,0.0783363998151132,1.594086993915861,0.6087532376612931,0.6087532376612931,True,1.2646146537905498
6.0,a,1.3735805447190523,1.2020217049479676,1.5833188677567658,1.4254516027813051,1.1028112674426849,1.9330041530234043,0.051871058062252784,0.051871058062252784,True,0.22516553734585942
