SubjectUID,DesignCell,P,T_ms,W_ms,SPE_RT_ms,P_z,T_z,W_z
group3_4,P120_T30_W600,120,30.0,600.0,29.791658947115593,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_5,P120_T30_W600,120,30.0,600.0,3.4925729499047975,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_6,P120_T30_W600,120,30.0,600.0,-14.132554165977865,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_7,P120_T30_W600,120,30.0,600.0,84.13689555859003,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_8,P120_T30_W600,120,30.0,600.0,10.071749323701056,0.792835929536557,-0.5180938517168422,-0.534675490441433
group4_1,P120_T80_W600,120,80.0,600.0,-16.510615714958476,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_10,P120_T80_W600,120,80.0,600.0,-5.1932176536131465,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_12,P120_T80_W600,120,80.0,600.0,17.882636586986337,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_14,P120_T80_W600,120,80.0,600.0,44.265429414838025,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_2,P120_T80_W600,120,80.0,600.0,-11.350026362086169,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_3,P120_T80_W600,120,80.0,600.0,29.548944744658797,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_5,P120_T80_W600,120,80.0,600.0,-43.25928376784816,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_6,P120_T80_W600,120,80.0,600.0,-1.2721183611664628,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_7,P120_T80_W600,120,80.0,600.0,-51.94401754659674,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_8,P120_T80_W600,120,80.0,600.0,-6.700241036215402,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_9,P120_T80_W600,120,80.0,600.0,33.73174876882365,0.792835929536557,-0.1711208003387439,-0.534675490441433
group5_1,P8_T100_W1100,8,100.0,1100.0,-128.24122842223812,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_10,P8_T100_W1100,8,100.0,1100.0,-24.82692879916749,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_11,P8_T100_W1100,8,100.0,1100.0,-22.17401817589166,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_12,P8_T100_W1100,8,100.0,1100.0,36.478220895762206,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_2,P8_T100_W1100,8,100.0,1100.0,-35.39922067781788,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_3,P8_T100_W1100,8,100.0,1100.0,-127.09474295452844,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_4,P8_T100_W1100,8,100.0,1100.0,16.684086161017945,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_5,P8_T100_W1100,8,100.0,1100.0,-71.31681046181018,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_6,P8_T100_W1100,8,100.0,1100.0,-31.43778463792387,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_7,P8_T100_W1100,8,100.0,1100.0,-133.26690877487385,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_8,P8_T100_W1100,8,100.0,1100.0,-5.839554117208081,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group6_1,P120_T500_W1500,120,500.0,1500.0,-29.929923537346212,0.792835929536557,2.7434528312372817,2.145470005948536
group6_10,P120_T500_W1500,120,500.0,1500.0,-86.59272241250392,0.792835929536557,2.7434528312372817,2.145470005948536
group6_12,P120_T500_W1500,120,500.0,1500.0,-142.73470415571626,0.792835929536557,2.7434528312372817,2.145470005948536
group6_13,P120_T500_W1500,120,500.0,1500.0,47.401100518690555,0.792835929536557,2.7434528312372817,2.145470005948536
group6_15,P120_T500_W1500,120,500.0,1500.0,-50.07203263818019,0.792835929536557,2.7434528312372817,2.145470005948536
group6_16,P120_T500_W1500,120,500.0,1500.0,19.296862146338867,0.792835929536557,2.7434528312372817,2.145470005948536
group6_3,P120_T500_W1500,120,500.0,1500.0,-114.46235598365615,0.792835929536557,2.7434528312372817,2.145470005948536
group6_4,P120_T500_W1500,120,500.0,1500.0,-289.58190224510633,0.792835929536557,2.7434528312372817,2.145470005948536
group6_5,P120_T500_W1500,120,500.0,1500.0,-58.90371712533488,0.792835929536557,2.7434528312372817,2.145470005948536
group6_9,P120_T500_W1500,120,500.0,1500.0,46.206939400026954,0.792835929536557,2.7434528312372817,2.145470005948536
group7_1,P120_T30_W800,120,30.0,800.0,-38.591272948111396,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_10,P120_T30_W800,120,30.0,800.0,10.558314759621453,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_11,P120_T30_W800,120,30.0,800.0,-15.390777227003127,0.792835929536557,-0.5180938517168422,0.060912397645226685
